Rank,Athlete,Distance,Runs,Longest,Avg. Pace,Elev. Gain,timestamp,location,Activities,Time,time_hold,dist_LA,dist_float,avg_pace_float,avg_pace_km_min,time_spent,National Rank,Location Rank,elevation_gain
23,Fatima H.,9.6 km,2.0,4.8 km,5:22 /km,27 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,9.6,"['5', '22']",5.366666666666666,51.519999999999996,90,23,27.0
16,Eiman R.,9.6 km,3.0,3.2 km,6:34 /km,39 m,2022-11-13 16:18:13.638756,"New York, NY",,,,,9.6,"['6', '34']",6.566666666666666,63.03999999999999,91,16,39.0
10,Nida A.,9.6 km,,,7:11 /km,68 m,2022-11-13 16:18:13.638756,"Los Angeles, CA",1.0,1h 9m,69.0,9.6,9.6,"['7', '11']",7.183333333333334,68.96,92,10,68.0
17,Hisham M.,9.6 km,1.0,9.6 km,5:04 /km,2 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,9.6,"['5', '04']",5.066666666666666,48.63999999999999,93,17,2.0
17,Taha Q.,9.3 km,2.0,5.8 km,5:55 /km,11 m,2022-11-13 16:18:13.638756,"New York, NY",,,,,9.3,"['5', '55']",5.916666666666667,55.025000000000006,94,17,11.0
18,Ahmed A.,9.2 km,2.0,4.8 km,7:50 /km,--,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,9.2,"['7', '50']",7.833333333333333,72.06666666666666,95,18,0.0
24,Ahmed A.,9.2 km,2.0,4.8 km,7:50 /km,--,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,9.2,"['7', '50']",7.833333333333333,72.06666666666666,96,24,0.0
18,Ahmed A.,9.2 km,2.0,4.8 km,7:50 /km,--,2022-11-13 16:18:13.638756,"New York, NY",,,,,9.2,"['7', '50']",7.833333333333333,72.06666666666666,97,18,0.0
25,Lauren K.,8.9 km,3.0,3.3 km,9:02 /km,30 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,8.9,"['9', '02']",9.033333333333333,80.39666666666668,98,25,30.0
3,Abdul-Latif G.,8.6 km,2.0,5.3 km,6:19 /km,127 m,2022-11-13 16:18:13.638756,"Seattle, WA",,,,,8.6,"['6', '19']",6.316666666666666,54.32333333333333,99,3,127.0
26,Bilel G.,8.6 km,2.0,6.1 km,5:01 /km,9 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,8.6,"['5', '01']",5.016666666666667,43.14333333333333,100,26,9.0
5,Farah L.,8.4 km,1.0,8.4 km,7:17 /km,65 m,2022-11-13 16:18:13.638756,"Detroit, MI",,,,,8.4,"['7', '17']",7.283333333333333,61.18,101,5,65.0
